Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996)/101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996),1,0,no,,2.47
101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996)/101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996),2,688.31,no,,2.85
16 Ukers Helvete - S01E01 - Episode 1 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E01 - Episode 1 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,2.06
16 Ukers Helvete - S01E01 - Episode 1 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E01 - Episode 1 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,2416.3,no,,3.35
16 Ukers Helvete - S01E02 - Episode 2 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E02 - Episode 2 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,1.97
16 Ukers Helvete - S01E02 - Episode 2 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E02 - Episode 2 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,2424.82,no,,1.46
16 Ukers Helvete - S01E03 - Episode 3 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E03 - Episode 3 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,0.83
16 Ukers Helvete - S01E03 - Episode 3 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E03 - Episode 3 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,109.72,no,,1.87
16 Ukers Helvete - S01E04 - Episode 4 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E04 - Episode 4 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,1.07
16 Ukers Helvete - S01E04 - Episode 4 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E04 - Episode 4 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,1634.88,no,,1.93
16 Ukers Helvete - S01E05 - Episode 5 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E05 - Episode 5 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,1.97
16 Ukers Helvete - S01E05 - Episode 5 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E05 - Episode 5 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,465.96,no,,1.89
16 Ukers Helvete - S01E06 - Episode 6 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E06 - Episode 6 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,1.03
16 Ukers Helvete - S01E06 - Episode 6 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E06 - Episode 6 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,729.95,no,,1.36
16 Ukers Helvete - S01E07 - Episode 7 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E07 - Episode 7 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,0.93
16 Ukers Helvete - S01E07 - Episode 7 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E07 - Episode 7 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,1011.44,no,,2.55
16 Ukers Helvete - S01E08 - Episode 8 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E08 - Episode 8 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,1,0,no,,0.86
16 Ukers Helvete - S01E08 - Episode 8 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1/16 Ukers Helvete - S01E08 - Episode 8 WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 1,2,2338.66,no,,1.67
16 Ukers Helvete - S02E01 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E01 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,1,0,no,,1.32
16 Ukers Helvete - S02E01 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E01 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,2,1982.66,no,,2.01
16 Ukers Helvete - S02E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,1,0,no,,0.96
16 Ukers Helvete - S02E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E02 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,2,398.43,no,,2.16
16 Ukers Helvete - S02E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,1,0,no,,1.5
16 Ukers Helvete - S02E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E03 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,2,999.11,no,,2.58
16 Ukers Helvete - S02E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,1,0,no,,1.88
16 Ukers Helvete - S02E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E04 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,2,905.55,no,,2.14
16 Ukers Helvete - S02E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,1,0,no,,1.71
16 Ukers Helvete - S02E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E05 - TBA WEBDL-1080p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,2,2172.53,no,,1.56
16 Ukers Helvete - S02E06 - TBA HDTV-720p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E06 - TBA HDTV-720p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,1,0,no,,0.69
16 Ukers Helvete - S02E06 - TBA HDTV-720p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2/16 Ukers Helvete - S02E06 - TBA HDTV-720p.mkv,/Volumes/media/media/tv/16 Ukers Helvete/Season 2,2,534.04,no,,1.0
