File	Extension	File Path	Filename	File Size	Container Format	Codec	Codec Long Name	Profile	Level	Bitrate	Width	Height	Color Space	Color Primaries	Color Transfer	Color Range	Chroma Location	Field Order	Refs	Bits per Raw Sample	Pixel Format	HDR	Bit Depth	Duration	Frame Rate	Audio Codecs	Audio Codec Long Names	Audio Channels	Audio Sample Rates	Audio Bitrates	Audio Bit Depth	Audio Stream Count	Subtitle Languages	Subtitle Formats	Subtitle Stream Count	Creation Date	Modification Date	Issue Detected	Issue Description	Unknown metadata	Non-standard video codec	Non-standard audio codec	Problematic subtitle format	High bitrate	Low bitrate	Non-standard resolution	Non-standard frame rate	High bit depth	HDR content	4K content	Complex video profile	Variable frame rate	Interlaced content	High subtitle stream count	Uncommon container format	Very high bitrate	Multiple audio streams
/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv	mkv	/Volumes/media/media/movies/300 (2007)	300 (2007) Bluray-2160p.mkv	6260778527	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	150	7156971	3840	1600	N/A	N/A	N/A	tv	left	N/A	1	N/A	yuv420p10le	No	10	6998.243000	23.976	aac	AAC (Advanced Audio Coding)	6	48000	N/A	N/A	1	eng, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A	subrip, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle	40	1660633460.141431	1660633460.141431	Yes	Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 3840x1600 && High bit depth video: 10-bit && High number of subtitle streams: 40	False	False	False	True	False	False	True	False	True	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv	mkv	/Volumes/media/media/movies/A Beautiful Mind (2001)	A Beautiful Mind (2001) Remux-1080p.mkv	7964309561	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	7835988	1920	1080	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	8131.007000	23.976	dts, ac3, ac3	DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3)	6, 2, 2	48000, 48000, 48000	N/A, 192000, 192000	24, N/A, N/A	3	eng, eng, dan, dut, fin, fre, ger, ita, nor, spa, swe	hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle	11	1724686367.0117967	1724686367.0117967	Yes	Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High number of subtitle streams: 11	False	False	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/A Bug's Life (1998)/A Bug's Life (1998) WEBDL-2160p SDR Handbrake.mkv	mkv	/Volumes/media/media/movies/A Bug's Life (1998)	A Bug's Life (1998) WEBDL-2160p SDR Handbrake.mkv	13880655188	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	150	18911318	3840	1632	bt709	bt709	bt709	tv	left	N/A	1	N/A	yuv420p	No	N/A	5871.893000	23.976	aac	AAC (Advanced Audio Coding)	2	48000	N/A	N/A	1			0	1723432890.0129218	1723432890.0129218	Yes	Some file information couldn't be determined && Non-standard resolution: 3840x1632	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Air (2023)/Air (2023) WEBDL-2160p.mp4	mp4	/Volumes/media/media/movies/Air (2023)	Air (2023) WEBDL-2160p.mp4	17408702620	mov,mp4,m4a,3gp,3g2,mj2	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	150	20330906	3840	2160	N/A	N/A	N/A	pc	left	N/A	1	N/A	yuv420p10le	No	10	6850.143333	24.000	eac3	ATSC A/52B (AC-3, E-AC-3)	6	48000	576000	N/A	1	eng, eng, ara, zho, zho, ces, dan, nld, fil, fin, fra, fra, deu, ell, heb, hin, hun, ind, ita, jpn, kan, kor, msa, mal, nob, pol, por, por, ron, rus, spa, eus, cat, spa, glg, swe, tam, tel, tha, tur, ukr, vie	mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text, mov_text	42	1684959948.6241567	1684959948.6241567	Yes	High bitrate (20.33 Mbps) may cause buffering && High bit depth video: 10-bit && High number of subtitle streams: 42	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/Aladdin (1992)/Aladdin (1992) WEBDL-2160p.mkv	mkv	/Volumes/media/media/movies/Aladdin (1992)	Aladdin (1992) WEBDL-2160p.mkv	11774630787	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	150	17322256	3840	2160	N/A	N/A	N/A	pc	left	N/A	1	N/A	yuv420p10le	No	10	5437.920000	23.976	eac3	ATSC A/52B (AC-3, E-AC-3)	6	48000	768000	N/A	1	eng, eng, cze, dan, ger, gre, spa, fin, fre, hun, ice, ita, jpn, kor, dut, nor, pol, por, por, rum, slo, swe, tur, chi, chi, chi, fre	subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip	27	1710271237.0	1710271237.0	Yes	High bit depth video: 10-bit && High number of subtitle streams: 27	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/Ali G Indahouse (2002)/Ali G Indahouse (2002) Remux-1080p.mkv	mkv	/Volumes/media/media/movies/Ali G Indahouse (2002)	Ali G Indahouse (2002) Remux-1080p.mkv	6217105485	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	9516417	1920	1080	bt709	bt709	bt709	tv	left	progressive	1	N/A	yuv420p	No	N/A	5226.425000	23.976	dts, dts, dts, dts, ac3	DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)	6, 6, 6, 6, 6	48000, 48000, 48000, 48000, 48000	N/A, 1536000, N/A, 1536000, 448000	16, N/A, 16, N/A, N/A	5	deu, deu, deu	hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle	3	1724548363.7182643	1724548363.7182643	Yes	Non-standard audio codec(s): dts, dts, dts, dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Multiple audio streams: 5	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True
/Volumes/media/media/movies/Alice in Wonderland (1951)/Alice in Wonderland (1951) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/Alice in Wonderland (1951)	Alice in Wonderland (1951) Bluray-1080p.mkv	5436481227	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	9630203	1424	1080	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	4516.192000	23.976	dts, dts, ac3, ac3, ac3, ac3, ac3	DCA (DTS Coherent Acoustics), DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)	6, 6, 6, 6, 6, 6, 6	48000, 48000, 48000, 48000, 48000, 48000, 48000	N/A, 1536000, 640000, 640000, 640000, 640000, 640000	24, N/A, N/A, N/A, N/A, N/A, N/A	7	eng, eng, swe, fin, nor, dan, ice	dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle	7	1724546078.8557477	1724546078.8557477	Yes	Non-standard audio codec(s): dts, dts && Potentially problematic subtitle format(s): dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle && Non-standard resolution: 1424x1080 && High number of subtitle streams: 7 && Multiple audio streams: 7	False	False	True	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True
/Volumes/media/media/movies/Amistad (1997)/Amistad (1997) WEBDL-2160p.mkv	mkv	/Volumes/media/media/movies/Amistad (1997)	Amistad (1997) WEBDL-2160p.mkv	17852937681	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	150	15386855	3840	2160	bt709	bt709	bt709	tv	left	N/A	1	N/A	yuv420p	No	N/A	9282.176000	23.976	aac	AAC (Advanced Audio Coding)	6	48000	N/A	N/A	1	eng	subrip	1	1622067843.0	1622067843.0	No	No issues detected	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Ant-Man (2015)/Ant-Man (2015) Remux-2160p SDR Handbrake.mkv	mkv	/Volumes/media/media/movies/Ant-Man (2015)	Ant-Man (2015) Remux-2160p SDR Handbrake.mkv	17124188124	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	150	19496941	3840	2076	bt709	bt709	bt709	tv	topleft	N/A	1	N/A	yuv420p	No	N/A	7026.410000	23.976	aac	AAC (Advanced Audio Coding)	2	48000	N/A	N/A	1			0	1723481017.2919996	1723481017.2919996	Yes	Some file information couldn't be determined && Non-standard resolution: 3840x2076	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Ant-Man and the Wasp Quantumania (2023)/Ant-Man and the Wasp Quantumania (2023) Remux-2160p SDR Handbrake.mkv	mkv	/Volumes/media/media/movies/Ant-Man and the Wasp Quantumania (2023)	Ant-Man and the Wasp Quantumania (2023) Remux-2160p SDR Handbrake.mkv	17886493128	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	150	19157312	3840	1608	bt709	bt709	bt709	tv	topleft	N/A	1	N/A	yuv420p	No	N/A	7469.312000	23.976	aac	AAC (Advanced Audio Coding)	2	48000	N/A	N/A	1			0	1723490301.9181783	1723490301.9181783	Yes	Some file information couldn't be determined && Non-standard resolution: 3840x1608	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
