Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007),1,0,no,,4.63
300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007),2,620.7,no,,6.62
300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007),3,5311.72,no,,6.83
300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007),4,5119.82,no,,4.23
300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007)/300 (2007) Bluray-2160p.mkv,/Volumes/media/media/movies/300 (2007),5,2242.78,no,,6.81
A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001),1,0,no,,2.61
A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001),2,952.45,no,,6.23
A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001),3,2565.68,no,,5.55
A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001),4,733.44,no,,5.31
A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001)/A Beautiful Mind (2001) Remux-1080p.mkv,/Volumes/media/media/movies/A Beautiful Mind (2001),5,2601.89,no,,4.52
